train_list,val_list,test_list,train_distribution,val_distribution,test_distribution
./class/fmri_p1_data/happy\P04_10_happy.npz,./class/fmri_p1_data/sad\P15_12_sad.npz,./class/fmri_p1_data/normal\P01_12_normal.npz,0.338541667,0.338541667,0.338541667
./class/fmri_p1_data/sad\P01_22_sad.npz,./class/fmri_p1_data/happy\P01_11_happy.npz,./class/fmri_p1_data/sad\P15_29_sad.npz,0.330729167,0.330729167,0.330729167
./class/fmri_p1_data/normal\P04_4_normal.npz,./class/fmri_p1_data/happy\P16_3_happy.npz,./class/fmri_p1_data/normal\P03_8_normal.npz,0.330729167,0.330729167,0.330729167
./class/fmri_p1_data/normal\P13_3_normal.npz,./class/fmri_p1_data/normal\P03_0_normal.npz,./class/fmri_p1_data/happy\P15_11_happy.npz,0,0,0
./class/fmri_p1_data/happy\P06_18_happy.npz,./class/fmri_p1_data/sad\P08_26_sad.npz,./class/fmri_p1_data/happy\P10_28_happy.npz,0,0,0
./class/fmri_p1_data/happy\P16_19_happy.npz,./class/fmri_p1_data/sad\P14_26_sad.npz,./class/fmri_p1_data/happy\P10_24_happy.npz,0,0,0
./class/fmri_p1_data/happy\P13_18_happy.npz,./class/fmri_p1_data/happy\P01_21_happy.npz,./class/fmri_p1_data/normal\P14_24_normal.npz,0,0,0
./class/fmri_p1_data/normal\P11_0_normal.npz,./class/fmri_p1_data/sad\P12_19_sad.npz,./class/fmri_p1_data/sad\P06_6_sad.npz,0,0,0
./class/fmri_p1_data/sad\P04_23_sad.npz,./class/fmri_p1_data/happy\P04_13_happy.npz,./class/fmri_p1_data/normal\P02_13_normal.npz,0,0,0
./class/fmri_p1_data/sad\P12_16_sad.npz,./class/fmri_p1_data/normal\P06_3_normal.npz,./class/fmri_p1_data/sad\P03_21_sad.npz,0,0,0
./class/fmri_p1_data/sad\P11_23_sad.npz,./class/fmri_p1_data/sad\P06_26_sad.npz,./class/fmri_p1_data/happy\P02_3_happy.npz,0,0,0
./class/fmri_p1_data/sad\P07_11_sad.npz,./class/fmri_p1_data/sad\P02_21_sad.npz,./class/fmri_p1_data/happy\P01_24_happy.npz,0,0,0
./class/fmri_p1_data/sad\P08_10_sad.npz,./class/fmri_p1_data/normal\P06_2_normal.npz,./class/fmri_p1_data/happy\P16_10_happy.npz,0,0,0
./class/fmri_p1_data/normal\P13_6_normal.npz,./class/fmri_p1_data/normal\P09_12_normal.npz,./class/fmri_p1_data/happy\P09_15_happy.npz,0,0,0
./class/fmri_p1_data/normal\P09_25_normal.npz,./class/fmri_p1_data/happy\P11_15_happy.npz,./class/fmri_p1_data/sad\P04_2_sad.npz,0,0,0
./class/fmri_p1_data/happy\P13_17_happy.npz,./class/fmri_p1_data/happy\P02_12_happy.npz,./class/fmri_p1_data/happy\P04_20_happy.npz,0,0,0
./class/fmri_p1_data/sad\P06_9_sad.npz,./class/fmri_p1_data/happy\P09_9_happy.npz,./class/fmri_p1_data/sad\P05_27_sad.npz,0,0,0
./class/fmri_p1_data/normal\P16_2_normal.npz,./class/fmri_p1_data/happy\P03_9_happy.npz,./class/fmri_p1_data/sad\P05_26_sad.npz,0,0,0
./class/fmri_p1_data/sad\P14_13_sad.npz,./class/fmri_p1_data/happy\P08_17_happy.npz,./class/fmri_p1_data/normal\P16_0_normal.npz,0,0,0
./class/fmri_p1_data/sad\P09_27_sad.npz,./class/fmri_p1_data/normal\P14_28_normal.npz,./class/fmri_p1_data/happy\P10_11_happy.npz,0,0,0
./class/fmri_p1_data/normal\P06_22_normal.npz,./class/fmri_p1_data/sad\P15_16_sad.npz,./class/fmri_p1_data/normal\P13_25_normal.npz,0,0,0
./class/fmri_p1_data/happy\P04_17_happy.npz,./class/fmri_p1_data/normal\P08_1_normal.npz,./class/fmri_p1_data/sad\P07_21_sad.npz,0,0,0
./class/fmri_p1_data/normal\P02_2_normal.npz,./class/fmri_p1_data/sad\P04_0_sad.npz,./class/fmri_p1_data/sad\P07_23_sad.npz,0,0,0
./class/fmri_p1_data/happy\P09_28_happy.npz,./class/fmri_p1_data/sad\P12_29_sad.npz,./class/fmri_p1_data/normal\P15_7_normal.npz,0,0,0
./class/fmri_p1_data/normal\P09_14_normal.npz,./class/fmri_p1_data/normal\P07_25_normal.npz,./class/fmri_p1_data/normal\P03_25_normal.npz,0,0,0
./class/fmri_p1_data/sad\P02_5_sad.npz,./class/fmri_p1_data/happy\P13_8_happy.npz,./class/fmri_p1_data/sad\P11_4_sad.npz,0,0,0
./class/fmri_p1_data/sad\P08_27_sad.npz,./class/fmri_p1_data/normal\P15_22_normal.npz,./class/fmri_p1_data/happy\P14_14_happy.npz,0,0,0
./class/fmri_p1_data/normal\P11_13_normal.npz,./class/fmri_p1_data/normal\P04_24_normal.npz,./class/fmri_p1_data/sad\P11_16_sad.npz,0,0,0
./class/fmri_p1_data/happy\P09_0_happy.npz,./class/fmri_p1_data/normal\P08_5_normal.npz,./class/fmri_p1_data/happy\P06_14_happy.npz,0,0,0
./class/fmri_p1_data/sad\P16_27_sad.npz,./class/fmri_p1_data/happy\P06_15_happy.npz,./class/fmri_p1_data/normal\P10_12_normal.npz,0,0,0
./class/fmri_p1_data/happy\P09_23_happy.npz,./class/fmri_p1_data/sad\P03_27_sad.npz,./class/fmri_p1_data/happy\P07_19_happy.npz,0,0,0
./class/fmri_p1_data/normal\P13_19_normal.npz,./class/fmri_p1_data/normal\P05_24_normal.npz,./class/fmri_p1_data/normal\P15_3_normal.npz,0,0,0
./class/fmri_p1_data/normal\P02_11_normal.npz,./class/fmri_p1_data/happy\P15_4_happy.npz,./class/fmri_p1_data/sad\P07_22_sad.npz,0,0,0
./class/fmri_p1_data/happy\P06_8_happy.npz,./class/fmri_p1_data/normal\P15_28_normal.npz,./class/fmri_p1_data/normal\P14_21_normal.npz,0,0,0
./class/fmri_p1_data/sad\P10_1_sad.npz,./class/fmri_p1_data/normal\P07_2_normal.npz,./class/fmri_p1_data/happy\P01_15_happy.npz,0,0,0
./class/fmri_p1_data/normal\P05_17_normal.npz,./class/fmri_p1_data/happy\P10_16_happy.npz,./class/fmri_p1_data/sad\P05_3_sad.npz,0,0,0
./class/fmri_p1_data/sad\P09_7_sad.npz,./class/fmri_p1_data/normal\P06_17_normal.npz,./class/fmri_p1_data/sad\P14_20_sad.npz,0,0,0
./class/fmri_p1_data/happy\P12_5_happy.npz,./class/fmri_p1_data/sad\P06_29_sad.npz,./class/fmri_p1_data/normal\P08_14_normal.npz,0,0,0
./class/fmri_p1_data/happy\P07_28_happy.npz,./class/fmri_p1_data/normal\P10_0_normal.npz,./class/fmri_p1_data/happy\P03_13_happy.npz,0,0,0
./class/fmri_p1_data/normal\P01_20_normal.npz,./class/fmri_p1_data/normal\P01_14_normal.npz,./class/fmri_p1_data/sad\P04_26_sad.npz,0,0,0
./class/fmri_p1_data/normal\P06_20_normal.npz,./class/fmri_p1_data/sad\P14_3_sad.npz,./class/fmri_p1_data/normal\P12_6_normal.npz,0,0,0
./class/fmri_p1_data/sad\P01_9_sad.npz,./class/fmri_p1_data/sad\P10_9_sad.npz,./class/fmri_p1_data/normal\P06_28_normal.npz,0,0,0
./class/fmri_p1_data/normal\P03_22_normal.npz,./class/fmri_p1_data/happy\P13_10_happy.npz,./class/fmri_p1_data/normal\P08_3_normal.npz,0,0,0
./class/fmri_p1_data/happy\P11_3_happy.npz,./class/fmri_p1_data/happy\P10_27_happy.npz,./class/fmri_p1_data/happy\P13_13_happy.npz,0,0,0
./class/fmri_p1_data/sad\P12_17_sad.npz,./class/fmri_p1_data/sad\P08_2_sad.npz,./class/fmri_p1_data/sad\P16_13_sad.npz,0,0,0
./class/fmri_p1_data/normal\P07_18_normal.npz,./class/fmri_p1_data/happy\P15_8_happy.npz,./class/fmri_p1_data/normal\P13_4_normal.npz,0,0,0
./class/fmri_p1_data/happy\P08_21_happy.npz,./class/fmri_p1_data/sad\P05_5_sad.npz,./class/fmri_p1_data/happy\P06_4_happy.npz,0,0,0
./class/fmri_p1_data/happy\P11_9_happy.npz,./class/fmri_p1_data/sad\P05_9_sad.npz,./class/fmri_p1_data/sad\P05_23_sad.npz,0,0,0
./class/fmri_p1_data/normal\P13_22_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P06_5_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P11_17_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P05_12_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P12_28_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P10_26_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P12_11_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P16_28_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P08_28_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P11_5_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P04_11_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P05_21_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P10_8_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P16_16_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P09_5_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P07_6_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P15_14_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P12_14_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P11_29_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P09_29_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P10_13_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P06_10_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P15_21_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P08_24_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P12_25_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P02_10_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P16_18_normal.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P12_22_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P09_18_sad.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P15_24_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P01_13_happy.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P03_16_sad.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P03_5_happy.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P12_9_happy.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P13_9_normal.npz,0,0,0,0,0
./class/fmri_p1_data/sad\P13_23_sad.npz,0,0,0,0,0
./class/fmri_p1_data/normal\P10_7_normal.npz,0,0,0,0,0
./class/fmri_p1_data/happy\P13_27_happy.npz,0,0,0,0,0
